key,course,credits,type
PE140A,CARDIO CORE,0.5,Elective
PE140A,CARDIO CORE,0.5,
PE140A,CARDIO CORE,0.5,
PE140B,CARDIO CORE,0.5,Elective
PE140B,CARDIO CORE,0.5,
PE140B,CARDIO CORE,0.5,
SC120A,BIOLOGY/EARTH,1.0,
SC120A,BIOLOGY / EARTH,1.0,
SC220A,CHEMISTRY,0.5,Required
SC220A,CHEMISTRY,1.0,
SC220A,CHEMISTRY (Pre Req Alg I),1.0,
SC220B,CHEMISTRY,0.5,Required
SC300A,ROBOTICS,0.5,Required
SC300A,ROBOTICS I,0.5,
SC300A,ROBOTICS I & II,0.5,
SC300B,ROBOTICS,0.5,Required
SC300B,ROBOTICS II-III,0.5,
SC300B,ROBOTICS I & II,0.5,
SC700A,AP ENV SCIENCE,0.5,Required
SC700A,AP ENVIRONMENTAL SCIENCE,1.0,
SC700B,AP ENV SCIENCE,0.5,Required
SC720A,PHYSICS A,0.5,Required
SC720A,PHYSICS,1.0,
SC720B,PHYSICS B,0.5,Required
SC730A,AP PHYSICS SCIENCE A,0.5,Required
SC730A,AP PHYSICS I,1.0,
SC730B,AP PHYSICS SCIENCE B,0.5,Required
SS100A,WORLD HISTORY,0.5,
SS100A,WORLD HISTORY,0.5,
SS200A,US HISTORY,1.0,
SS300A,CIVICS,0.5,Required
SS300A,CIVICS,0.5,
SS310A,CONT AMER CULTURE,0.5,Required
SS310A,CONTEMPORARY AMERICAN CULTURE (CAC),0.5,
SS320A,CONT ISSUES/MEDIA,0.5,Required
SS320A,CONTEMPORARY ISSUES THRU MULTI MEDIA,0.5,
SS330A,CONT WORLD ISSUES,0.5,Required
SS330A,CONTEMPORARY WORLD ISSUES (CWI),0.5,
SS400A,HON CONT ISSUES/RELIGIONS A,0.5,Required
SS400A,HON RELIGIONS / HIST 121 REL OF WRLD (CIH),1.0,
SS400B,HON CONT ISSUES/RELIGIONS B,0.5,Required
SS700A,AP HUMAN GEOGRAHPHY,1.0,
SS700A,AP HUMAN GEOGRAPHY,1.0,
SS720A,AP US HISTORY,1.0,
SS730A,AP US GOV/POL A,0.5,Required
SS730A,AP US GOVERNMENT,1.0,
SS730B,AP US GOV/POL B,0.5,Required
STLEA1,STUD LEAD/GOVT,0.5,Elective
STLEA1,STUDENT LEADERSHIP (Application Req),0.5,
STLEA2,STUD LEAD/GOVT,0.5,Elective
STLEA2,STUDENT LEADERSHIP (Application Req),0.5,
VCT300,INTRO COMP SCIENCE,0.5,Elective
VCT300,INTRO TO COMPUTER SCIENCE,0.5,
VCT300,INTRO COMPUTER SCIENCE,0.5,
VOC425,ENG DRAW&DES I/CNC MACHINE,0.5,Elective
VOC425,ENGINEERING DRAWING / DESIGN I & II,0.5,
VOC425,ENGINEERING DRAW / DESIGN I & II,0.5,
VOC426,ENG DRAWING & DESIGN II,0.5,Elective
VOC430,ARCH DRAW/DSGN,0.5,Elective
VOC430,ARCHITECTURAL DRAWING I & II,0.5,
VOC430,ARCHITECTURAL DRAWING I & II,0.5,
VOC431,ARCHITEC DRAWING & DESIGN II,0.5,Elective
VOC517,YEARBOOK LAB,0.5,Elective
VOC517,YEARBOOK LAB (Editors Only),1.0,
VOC519,YEARBOOK LAB II,0.5,Elective
VOC534,MS 2010 IT ACADEMY,0.5,Elective
VOC534,MICROSOFT IT ACADEMY,0.5,
VOC534,MICROSOFT IT ACADEMY,0.5,
VOC535,ADV MS 2010 IT ACADEMY,0.5,Elective
VOC535,ADV MICROSOFT IT ACADEMY,0.5,
VOC535,ADV MICROSOFT IT ACADEMY,0.5,
VOC560,DIGITAL MEDIA PRODUCTION,0.5,Elective
VOC560,DIGITAL MEDIA PRODUCTION,0.5,
VOC560,DIGITAL MEDIA PRODUCTION,0.5,
VOC565,ADV DIGITAL MEDIA A,0.5,Elective
VOC565,ADV DIGITAL MEDIA (Application Req),1.0,
VOC565,ADV DIG MEDIA (Application Req),1.0,
VOC566,ADV DIGITAL MEDIA B,0.5,Elective
VOC570,COMMERCIAL PHOTOGRAPHY,0.5,Elective
VOC570,COMMERCIAL PHOTOGRAPHY I & II,0.5,
VOC570,COMMERCIAL PHOTOGRAPHY I & II,0.5,
VOC571,COMMERCIAL PHOTOGRAPHY II,0.5,Elective
VOC571,COMMERCIAL PHOTOGRAPHY I & II,0.5,
VOC571,COMMERCIAL PHOTOGRAPHY I & II,0.5,
VOC575,YEARBOOK A,0.5,Elective
VOC575,YEARBOOK (Application Req),1.0,
VOC575,YEARBOOK (Application Req),1.0,
VOC576,YEARBOOK B,0.5,Elective
VOC616,HUMAN ANATOMY,0.5,Elective
VOC616,HUMAN ANATOMY / PHYSIOLOGY,1.0,
VOC617,HUMAN ANATOMY,0.5,Elective
VOC620,SPORTS MEDICINE I,0.5,Elective
VOC620,SPORTS MEDICINE I,0.5,
VOC621,SPORTS MEDICINE II,0.5,Elective
VOC621,SPORTS MEDICINE II,0.5,
VOC630,MARKETING,0.5,Elective
VOC630,MARKETING,0.5,
VOC630,INTRO TO MARKETING,0.5,
VOC632,ADV MARKETING,0.5,Elective
VOC632,ADV MARKETING,0.5,
VOC632,ADVANCED MARKETING,0.5,
VOC635,STUDENT STORE,0.5,Elective
VOC635,STUDENT STORE,0.5,
VOC636,STUDENT STORE,0.5,Elective
VOC636,STUDENT STORE,0.5,
VOC740,PERSONAL FINANCE I,0.5,Elective
VOC741,PERSONAL FINANCE II,0.5,Elective
VOC741,PERSONAL FINANCE II,0.5,
VOC831,METALS TECH I,0.5,Elective
VOC831,METALS I - IV,0.5,
VOC831,METALS I & II,0.5,
VOC832,METALS TECH II,0.5,Elective
VOC832,METALS I - IV,0.5,
VOC832,METALS I & II,0.5,
VOC911,WOODTECHNOLOGY I,0.5,Elective
VOC911,WOOD TECH I & II,0.5,
VOC911,WOOD TECH I & II,0.5,
VOC912,WOODWORKING TECHNOLOGY II,0.5,Elective
VOC912,WOOD TECH I & II,0.5,
VOC912,WOOD TECH I & II,0.5,
WL100A,SPANISH I,0.5,Required
WL100A,SPANISH I,1.0,
WL100A,SPANISH I,1.0,
WL100B,SPANISH I,0.5,Required
WL200A,SPANISH II,0.5,Required
WL200A,SPANISH II,1.0,
WL200A,SPANISH II,1.0,
WL200B,SPANISH II,0.5,Required
WL310A,SPAN 123 SPANISH III,0.5,Elective
WL310A,SPANISH III / SPAN 123 (CIH),1.0,
WL310B,SPAN 123 SPANISH III,0.5,Elective
WL410A,SPAN 221 SPANISH IV,0.5,Elective
WL410A,SPANISH IV / SPAN 221 (CIH),1.0,
WL410B,SPAN 221 SPANISH IV,0.5,Elective
WL710,AP SPANISH LANG & CULTURE (SPANISH V),1.0,
WL710A,AP SPANISH LANG & CULTURE,0.5,Elective
WL710B,AP SPANISH LANGUAGE & CULTURE,0.5,Elective
